0,30.52902308,114.35014511,12,3.508,-20,9c:a6:15:a0:f9:9f
1,30.52900510,114.35041571,12,3.401,-21.43,f4:2a:7d:c6:b8:cd
2,30.52898713,114.35066549,12,3.294,-22.86,70:f9:6d:25:a1:c3
3,30.52898713,114.35095691,12,3.187,-24.29,70:f9:6d:25:a1:c2
4,30.52898713,114.35124832,12,3.080,-25.72,7c:b5:9b:7b:cb:24
5,30.52887926,114.35010348,12,2.973,-27.15,70:f9:6d:26:a7:e3
6,30.52886128,114.35041571,12,2.866,-28.58,68:db:54:fd:15:c0
7,30.52882533,114.35066549,12,2.759,-30.01,42:26:4e:e1:d0:91
8,30.52882533,114.35095691,12,2.652,-31.43,70:f9:6d:25:a1:d3
9,30.52882533,114.35124832,12,2.545,-32.87,70:f9:6d:25:a1:d2
10,30.52875341,114.35008267,12,2.438,-34.30,70:f9:6d:34:b0:12
11,30.52871746,114.35041571,12,2.331,-35.73,68:db:54:fd:15:bf
12,30.52868151,114.35066549,12,2.214,-37.16,70:f9:6d:34:b3:32
13,30.52862758,114.35095691,12,2.107,-38.58,ec:41:18:eb:c3:76
14,30.52859162,114.35124832,12,2.000,-40.01,70:f9:6d:34:b3:33
